ID;Hindi Synset ID;Sanskrit;Hindi;Assamiya;Oriya;Urdu;Kannada;Kashmiri;Gujarati;Tamil;Telugu;Punjabi;Bangla;Marathi;Malayalam;Sindhi
1;10697;अंक;अंक;अङ्क;अंक;अंक;अंक;अंक;अंक;null;अंकमु;अंक;अंक;अंक;अंकम् ;अंक
2;1954;अंग;अंग;अङ्ग;अंग;अंग;अंग;अंग;अंग;अंगम्;अंगमु ;अंग;अंग;अंग;अंगम्;अंग
3;not in HWN;अंगुली;अंगुलि;अङ्गुलि;अंगुळि;null;अंगुलि;अंगुली;अंगुलि;अंगुलि;अंगुळि;अंगुलि;अंगुलि;अंगुली;अंगुलि;null
4;13319;अंजलि;अंजलि;अञ्जलि;अंजळि;null;अंजलि ;अंजली;अंजलि;अंजलि;अंजलि;अंजलि;अंजलि;अंजलि;अंजलि;अंजलि
5;658;अंत;अंत;अन्त;अंत;अंत;अंत;अंत;अंत;अंदम्;अंतमु;अंत;अंत;अंत;अंतम्;अंत
6;7451;अंतर;अंतर;अंतर;अंतर;अंतर;अंतर;अंतर;अंतर;अदरम्;अंतरमु;अंतर;अंतर;अंतर;अतरम्;अंतर
7;2110;अंतरिक्ष;अंतरिक्ष;अन्तरीक्ष;अंतरीकय;null;अंतरिक्ष;अंतरिक्ष;अंतरिक्ष;null;अंतरिक्षमु;null;अंतरीक्ष;अंतरिक्ष;अंतरिक्षम्;अंतरिक्ष
8;not in HWN;अंत्येष्ठि;अंत्येष्ठि;अन्ट्येष्टि;अंत्येष्टि;null;अंत्येष्टि;अंत्येष्टि;अंत्येष्टि;अंतियेष्टि;अंत्येष्टि;अंत्येष्टि;अंत्येष्टि;अंत्येष्टि;अंत्येष्टि;अंत्येष्टि
9;7546;अंत्र;अंत्र;आँत्;अंत्र;null;अंत्र;अंत;अंत्र;अंदिरम्;अंत्रमु;अंत्र;अंत्र;अंत्र;अंत्रम्;null
10;14293;अंध;अंध;अंध;अंध;null;अंध;अंध;अंध;अंदन;अंधुड़;अंध;अंध;अंध;अंधन्;अंध
11;2176;अंबर;अंबर;अम्बर;अंबर;अंबर;अंबर;अंबर;अंबर;अम्बरम्;अंबरमु;अंबर;अंबर;अंबर;अंबरम्;अंबर
12;20425;अंश;अंश;अंश;अंश;null;अंश;अंश;अंश;अम्शम्;अंशमु;अंश;अंश;अंश;अंशम्;अंश
13;7798;अंशु;अंशु;अंशु;अंशु;null;अंशु;अंशु;अंशु;null;अशुवु;null;अंशु;अंशु;अंशु;null
14;2230;अकर्मण्य;अकर्मण्य;अकर्मण्य;अकर्मण्य;null;अकर्मण्य;अकर्मण्य;अकर्मण्य;null;अकर्मण्युडु;null;अकर्मण्य;अकर्मण्य;अकर्मण्यन्;अकर्मण्य
15;2258;अकाल;अकाल;अकाल;अकाल;अकाल;अकाल;अकाल;अकाल;अकालम्;अकालमु;अकाल;अकाल;अकाल;अकालम्;अकाल
16;7729;अक्ष;अक्ष;अक्ष;अख्य;null;अक्ष;null;अक्ष;अट्शम्;अक्षमु;null;अक्षा;अक्ष;अक्ष;अक्ष
17;3255;अक्षम;अक्षम;अक्षम;अख्यम;null;अक्षम;अक्षम;अक्षम;null;null;null;अक्षम;अक्षम;अक्षमन्;null
18;2136;अक्षय;अक्षय;अक्षय;अख्यय;null;अक्षय;अक्षय;अक्षय;अट्शयम्;अक्षयमु;null;अक्षय;अक्षय;अक्षयम्;अक्षय
19;2328;अखंड;अखंड;null;अखंड;null;अखंड;अखंड;अखंड;अखंडम्;अखंडमु;अखंड;अखंड;अखंड;अखंडम्;अखंड
20;12313;अखिल;अखिल;अखिल;अखिल;null;अखिल;अखिल;अखिल;अखिलम्;अखिलमु;null;अखिल;अखिल;अखिलम्;अखिल
21;2347;अगम्य;अगम्य;अगम्य;अगम्य;null;अगम्य;null;अगम्य;null;अगम्यमु;अगम्य;अगम्य;अगम्य;अगम्यम्;अगम/अगम्य
22;2138;अगाध;अगाध;अगाध;अगाध;null;अगाध;अगाध;अगाध;null;अगाधमु;अगाध;अगाध;अगाध;अगाधम्;अगाध
23;2386;अगोचर;अगोचर;अगोचर;अगोचर;null;अगोचर;अगोचर;अगोचर;अगोचरम्;अगोचरमु;अगोचर;अगोचर;अगोचर;अगोचरम्;अगोचर
24;2023;अग्नि;अग्नि;अग्नि;अग्नि;अगिन;अग्नि;अग्नि;अग्नि;अग्गिनि;अग्नि;अग्नि;अग्नि;अग्नि;अग्नि;अग्नि
25;2341;अचल;अचल;अचल;अचल;अचल;अचल;अचल;अचल;अचलम्;अचलमु;अचल;अचल;अचल;अचलम्;अचल
26;2510;अचला;अचला;अचला;अचला;null;null;null;अचला;अचलम्;अचल;null;अचला;अचला;अचला;अचला
27;2443;अचेतन;अचेतन;अचेतन;अचेतन;null;अचेतन;अचेतन;अचेतन;अचेतनम्;अचेतनमु;अचेतन;अचेतन;अचेतन;अचेतनम्;अचेतन
28;2481;अजय;अजय;अजय;अजय;null;अजय;अजय;अजय;null;अजयमु;अजय;अजय;अजय;अजयन्;अजय
29;2483;अजर;अजर;अजर;अजर;null;अजर;अजर;अजर;null;अजरमु;अजर;अजर;अजर;अजरन्;अजर
30;2486;अजा;अजा;null;अजा;null;अज;null;अजा;null;अज;null;अजा;अजा;अजा;null
31;2501;अजीर्ण;अजीर्ण;अजीर्ण;अजीर्ण;null;अजीर्ण;अजीर्ण;अजीर्ण;अजीरणम्;अजीर्णमु;अजीर्ण;अजीर्ण;अजीर्ण;अजीर्णम्;अजीर्ण
32;not in HWN;अज्ञान;आज्ञान;अज्ञान;अज्ञान;null;अज्ञान;अज्ञान;अज्ञान;अग्ज्ञानम;blank;अज्ञानमु;अज्ञान;अज्ञान;अज्ञाननम्;अज्ञान
33;736;अणु;अणु;अणु;अणु;null;अणु;null;अणु;अणु;अणुवु;अणु;अणु;अणु;अणु;अणु
34;1570;अतिक्रमण;अतिक्रमण;अतिक्रमण;अतिक्रमण;null;अतिक्रमण;null;अतिक्रमण;अदिक्किरमम्;अतिक्रमणमु;null;अतिक्रमण;अतिक्रमण;अतिक्रमणम्;null
35;2611;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि;अतिदि;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि;अतिथि
36;34372;अतिरिक्त;अतिरिक्त;अतिरिक्त;अतिरिक्त;null;अतिरिक्त;null;अतिरिक्त;null;अतिरिक्त;null;अतिरिक्त;अतिरिक्त;अतिरिक्तम्;null
37;38609;अतिवृष्टि;अतिवृष्टि;अतिवृष्टि;अतिवृष्टि;null;अतिवृष्टि;null;अतिवृष्टि;null;अतिवृष्टि;null;अतिवृष्टि;अतिवृष्टि;अतिवृष्टि;null
38;2090;अतिशय;अतिशय;अतिशय;अतिशय;null;अतिशय;null;अतिशय;null;अतिशयमु;null;अतिशय;अतिशय;अतिशयम्;null
39;2386;अतींद्रिय;अतींद्रिय;अतींद्रिय;अतींद्रिय;null;अतींद्रिय;अतींद्रिय;अतींद्रिय;null;अतींद्रियमु;null;अतींद्रिय;अतींद्रिय;अतींद्रियम्;अतींद्रिय
40;1771;अतीत;अतीत;अतीत;अतीत;null;अतीत;अतीत;null;null;अतीत;अतीत;अतीत;अतीत;अतीतम्;अतीत
41;13;अत्याचार;अत्याचार;अत्याचार;अत्याचार;null;अत्याचार;अत्याचार;अत्याचार;null;अत्याचारमु;अत्याचार;अत्याचार;अत्याचार;अत्याचारम्;अत्याचार
42;2619;अत्युक्ति;अत्युक्ति;अत्युक्ति;अत्युक्ति;null;अत्युक्ति;अत्युक्ति;अत्युक्ति;null;अत्युक्ति;अत्युक्ति;अत्युक्ति;अत्युक्ति;अत्युक्ति;अत्युक्ति
43;2681;अदृष्ट;अदृष्ट;अदृष्ट;अदृष्ट;null;अदृष्ट;अदृष्ट;अदृष्ट;null;अदृष्टमु;null;अदृष्ट;अदृष्ट;अदृष्टम्;अदृष्ट
44;2685;अदेय;अदेय;null;अदेय;null;null;null;अदेय;null;अदेयमु;null;अदेय;अदेय;null;null
45;2500;अद्भुत;अद्भुत;अद्भुत;अद्भुत;null;अद्भुत;null;अद्भुत;null;अद्भुतमु;अद्भुत;अद्भुत;अद्भुत;अद्भुतम्;अद्भुत
46;2290;अद्वितीय;अद्वितीय;अद्वितीय;अद्वितीय;null;अद्वितीय;null;अद्वितीय;null;अद्वितीयमु;अद्वितीय;अद्वितीय;अद्वितीय;अद्वितीयम्;अद्वितीय
47;2290;अद्वैत;अद्वैत;अद्वैत;अद्वैत;null;अद्वैत;अद्वैत;अद्वैत;null;अद्वैतमु;अद्वैत;अद्वैत;अद्वैत;अद्वैतम्;अद्वैत
48;2701;अधम;अधम;अधम;अधम;null;अधम;अधम;अधम;अदमम्;अदममु;अधम;अधम;अधम;अधमन्;अधम
49;2177;अधर;अधर;अधर;अधर;null;अधर;null;अधर;अदरम्;अधर;अधर;अधर;अधर;अधरम्;null
50;2713;अधर्म;अधर्म;अधर्म;अधर्म;null;अधर्म;अधर्म;अधर्म;अधर्मम्;अधर्ममु;अधर्म;अधर्म;अधर्म;अधर्मम्;अधर्म
51;2403;अधिक ;अधिक ;अधिक ;अधिक ;null;अधिक ;null;अधिक;अदिहम्;अधिकम्;अधिक;अधिक;अधिक;अधिकम्;null
52;8412;अधिकार;अधिकार;अधिकार;अधिकार;null;अधिकार;अधिकार;अधिकार;अदिहारम्;अधिकारम्;अधिकार;अधिकार;अधिकार;अधिकारम्;अधिकार
53;8005;अधीन;अधीन;अधीन;अधीन;null;अधीन;अधीन;अधीन;null;अधीनमु;अधीन;अधीन;अधीन;अधीनन्;अधीन
54;2754;अध्यक्ष;अध्यक्ष;अध्यक्ष;अध्यक्ष;null;अध्यक्ष;अध्यक्ष;अध्यक्ष;null;अध्यक्षुडु;अध्यक्ष;अध्यक्ष;अध्यक्ष;अध्यक्षन्;अध्यक्ष
55;2890;अध्ययन;अध्ययन;अध्ययन;अध्ययन;null;अध्ययन;अध्ययन;अध्ययन;अत्तिययनम्;अध्ययनमु;अध्ययन;अध्ययन;अध्ययन;अध्ययनम्;अध्ययन
56;2799;अध्यवसाय;अध्यवसाय;अध्यवसाय;अध्यवसाय;null;अध्यवसाय;null;अध्यवसाय;null;अध्यवसाय;null;अध्यवसाय;अध्यवसाय;अध्यवसायम्;null
57;2800;अध्यात्म;अध्यात्म;अध्यात्म;अध्यात्म;null;अध्यात्म;अध्यात्म;अध्यात्म;अत्तियात्तुमिकम्;अध्यात्यमु;अध्यात्म;अध्यात्म;अध्यात्म;अध्यात्मम्;अध्यात्म
58;2803;अध्यापक;अध्यापक;अध्यापक;अध्यापक;null;अध्यापक;अध्यापक;अध्यापक;अत्तियापकन्;अध्यापकुडु;अध्यापक;अध्यापक;अध्यापक;अध्यापकन्;अध्यापक
59;2726;अध्याय;अध्याय;अध्याय;अध्याय;null;अध्याय;अध्याय;अध्याय;अत्तियायम्;अध्यायमु;अध्याय;अध्याय;अध्याय;अध्यायम्;अध्याय
60;2138;अनंत;अनंत;अनन्त;अनन्त;अनंत;अनंत;अनंत;अनंत;अनंदम्;अनंतमु;अनंत;अनंत;अनंत;अनंतम्;अनंत
61;13701;अनर्थ;अनर्थ;अनर्थ;अनर्थ;अनर्थ;अनर्थ;अनर्थ;अनर्थ;null;अनर्थमु;अनर्थ;अनर्थ;अनर्थ;अनर्थम्;अनर्थ
62;10427;अनशन;अनशन;अनशन;अनशन;null;अनशन;अनशन;अनशन;null;अनशनमु;अनशन;अनशन;अनशन;null;अनशन
63;3713;अनागत;अनागत;null;अनागत;null;अनागत;अनागत;अनागत;null;अनागतमु;null;अनागत;अनागत;अनागतम्;अनागत
64;35;अनाथ;अनाथ;अनाथ;अनाथ;null;अनाथ;अनाथ;अनाथ;अनादै;अनाथुडु;अनाथ;अनाथ;अनाथ;अनाथन्;अनाथ
65;2138;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि;अनादि
66;4565;अनिष्ट;अनिष्ट;अनिष्ट;अनिष्ट;null;अनिष्ट;अनिष्ट;अनिष्ट;अनिष्टम्;अनिष्टमु;अनिष्ट;अनिष्ट;अनिष्ट;अनिष्टम्;null
67;1002;अनुकरण;अनुकरण;अनुकरण;अनुकरण;null;अनुकरण;null;अनुकरण;अनुकरण;अनुकरणमु;अनुकरण;अनुकरण;अनुकरण;अनुकरणम्;अनुकरण
68;579;अनुकूल;अनुकूल;अनुकूल;अनुकूळ;null;अनुकूल;null;अनुकूल;अनुकूलम्;अनुकूलु;अनुकूल;अनुकूल;अनुकूल;अनुकूलम्;अनुकूल
69;1633;अनुग्रह;अनुग्रह;अनुग्रह;अनुग्रह;null;अनुग्रह;अनुग्रह;अनुग्रह;अनुग्गिरहम्;अनुग्रहमु;null;अनुग्रह;अनुग्रह;अनुग्रहम्;अनुग्रह
70;80;अनुज;अनुज;अनुज;अनुज;null;अनुज;null;अनुज;अनुजन्;अनुजुडु;null;अनुज;अनुज;अनुजन्;अनुज
71;3356;अनुज्ञा;अनुज्ञा;अनुज्ञा;अनुज्ञा;null;अनुज्ञ;null;अनुज्ञा;null;अनुज्ञा;null;अनुज्ञा;अनुज्ञा;अनुज्ञा;null
72;2290;अनुपम;अनुपम;अनुपम;अनुपम;null;अनुपम;null;अनुपम;null;अनुपममु;null;अनुपम;अनुपम;अनुपमम्;अनुपम
73;36556;अनुपात;अनुपात;अनुपात;अनुपात;null;अनुपात;null;अनुपात;null;अनुपातमु;null;अनुपात;अनुपात;अनुपातम्;अनुपात
74;91;अनुबंध;अनुबंध;अनुबंध;अनुबंध;null;अनुबंध;null;अनुबंध;null;अनुबंधमु;null;अनुबंध;अनुबंध;अनुबंधम्;null
75;97;अनुभव;अनुभव;अनुभव;अनुभव;null;अनुभव;अनुभव;अनुभव;अमुबवम्;अनुभवमु;अनुभव;अनुभव;अनुभव;अनुम्भव;अनुभव
76;105;अनुमति;अनुमति;अनुमति;अनुमति;null;अनुमति;null;अनुमति;अनुमति;अनुमति;अनुमति;अनुमति;null;अनुमति;अनुमति
77;107;अनुमान;अनुमान;अनुमान;अनुमान;null;अनुमान;अनुमान;अनुमान;अनुमानम्;अनुमानमु;अनुमान;अनुमान;अनुमान;अनुमानम्;अनुमान
78;109;अनुमोदन;अनुमोदन;अनुमोदन;अनुमोदन;null;अनुमोदन;null;अनुमोदन;null;अनुमोदमु;अनुमोदन;अनुमोदन;अनुमोदन;अनुमोदनम्;null
79;1147;अनुयायी;अनुयायी;अनुयायी;अनुयायी;null;अनुयायि;null;अनुयायी;null;अनुयायि;अनुयायी;अनुयायी;अनुयायी;अनुयायी;अनुयायी
80;120;अनुराग;अनुराग;अनुरॉग्;अनुराग;null;अनुराग;अनुराग;अनुराग;अनुरागम्;अनुरागमु;अनुराग;अनुराग;अनुराग;अनुरागम्;अनुराग
81;3079;अनुरूप;अनुरूप;अनुरूप;अनुरूप;null;अनुरूप;null;अनुरूप;अनुरूबम्;अनुरूप;null;अनुरूप;अनुरूप;अनुरूपम्;अनुरूप
